Title,Difficulty,Level,Chart Constant,Score,Note Count,PM Rating,Play Rating,Play Potential
Syro,FTR,9,9.3,"10,001,112","1,150",-38,2,11.3
Harutopia ~Utopia of Spring~,FTR,8,8.5,"10,001,044","1,061",-17,2,10.5
Clotho and the stargazer,FTR,7+,7.8,"10,000,985","1,021",-36,2,9.8
Antithese,FTR,8+,8.8,"10,000,937",877,60,2,10.8
Lumia,FTR,8,8.4,"10,000,934",961,-27,2,10.4
A Wandering Melody of Love,FTR,9,9.6,"10,000,905",931,-26,2,11.6
La'qryma of the Wasteland,FTR,9,9.1,"10,000,894",956,-62,2,11.1
Lucifer,FTR,8,8.2,"10,000,824",861,-37,2,10.2
Infinity Heaven,FTR,7+,7.8,"10,000,823",853,-30,2,9.8
world.execute(me);,FTR,8,8,"10,000,817",851,-34,2,10
Jump,FTR,9,9,"10,000,811",841,-30,2,11
Suomi,FTR,7+,7.8,"10,000,807",818,-11,2,9.8
next to you,FTR,8+,8.8,"10,000,801",824,-23,2,10.8
Leave All Behind,FTR,9,9.2,"10,000,791",828,-37,2,11.2
Rise,FTR,7+,7.8,"10,000,763",788,-25,2,9.8
Fairytale,FTR,7,7,"10,000,758",782,-24,2,9
Lawless Point,FTR,9,9,"10,000,758",838,-80,2,11
Maze No.9,FTR,8+,8.9,"10,000,752",775,-23,2,10.9
Hidden Rainbows of Epicurus,FTR,7,7.5,"10,000,751",783,-32,2,9.5
FURETE-MITAI,FTR,8,8.4,"10,000,739",763,-24,2,10.4
Brand new world,FTR,7+,7.8,"10,000,738",787,-49,2,9.8
Vexaria,FTR,7,7,"10,000,711",734,-23,2,9
Paradise,FTR,7+,7.8,"10,000,687",729,-42,2,9.8
Diode,FTR,8,8.1,"10,000,683",709,-26,2,10.1
Dialnote,FTR,8+,8.8,"10,000,672",684,-12,2,10.8
Sayonara Hatsukoi,FTR,7,7,"10,000,654",666,-12,2,9
Blossoms,FTR,7,7,"10,000,635",655,-20,2,9
Chelsea,FTR,8+,8.9,"10,000,601",650,-49,2,10.9
inkar-usi,FTR,7+,7.8,"10,000,444",463,-19,2,9.8
Bookmaker (2D Version),FTR,8,8.3,"9,996,637","1,124",-,1.983185,10.283185
Dement ~after legend~,FTR,7+,7.8,"9,995,785",970,-,1.978925,9.778925
Flyburg and Endroll,FTR,9,9,"9,995,526",930,-,1.97763,10.97763
Vivid Theory,FTR,8+,8.8,"9,995,204",885,-,1.97602,10.77602
I've heard it said,FTR,8,8.1,"9,995,022",864,-,1.97511,10.07511
Iconoclast,FTR,9,9.1,"9,994,475",795,-,1.972375,11.072375
Vindication,FTR,9,9.6,"9,991,711","1,075",-,1.958555,11.558555
WAIT FOR DAWN,FTR,8+,8.7,"9,989,213",861,-,1.946065,10.646065
Last,FTR,9,9,"9,988,753",831,-,1.943765,10.943765
Altair (feat. *spiLa*),FTR,8,8.5,"9,988,745",830,-,1.943725,10.443725
Avant Raze,FTR,9,9.6,"9,987,758","1,125",-,1.93879,11.53879
"Tsuki ni Murakumo, Hana ni Kaze",FTR,8+,8.7,"9,987,192",740,-,1.93596,10.63596
Genesis (Iris),FTR,8,8.2,"9,986,654",713,-,1.93327,10.13327
Oblivia,FTR,8,8.3,"9,985,220",956,-,1.9261,10.2261
Moonheart,FTR,8,8.4,"9,985,068",947,-,1.92534,10.32534
One Last Drive,FTR,8,8.2,"9,983,872",885,-,1.91936,10.11936
Reinvent,FTR,8,8.5,"9,983,179",852,-,1.915895,10.415895
Sulfur,FTR,9+,9.7,"9,981,835","1,045",-,1.909175,11.609175
Paper Witch,FTR,8+,8.7,"9,981,794",793,-,1.90897,10.60897
Grimheart,FTR,8+,8.7,"9,980,041",959,-,1.900205,10.600205
Dandelion,FTR,8,8.5,"9,979,126",921,-,1.89563,10.39563
ReviXy,FTR,9,9.1,"9,977,127","1,047",-,1.885635,10.985635
Sakura Fubuki,FTR,9,9.4,"9,976,896",837,-,1.88448,11.28448
Lost Emotion feat. nomico,FTR,9,9.3,"9,974,311","1,123",-,1.871555,11.171555
Particle Arts,FTR,8+,8.8,"9,973,858",925,-,1.86929,10.66929
Xanatos,FTR,10,10,"9,972,761","1,232",-,1.863805,11.863805
Essence of Twilight,FTR,9,9.1,"9,972,064","1,204",-,1.86032,10.96032
Ävril -Flicka i krans-,FTR,8,8.3,"9,971,425",851,-,1.857125,10.157125
Equilibrium,FTR,9,9.4,"9,969,292",951,-,1.84646,11.24646
Crystal Gravity,FTR,9,9.4,"9,966,410",872,-,1.83205,11.23205
Dreamin' Attraction!!,FTR,9,9.4,"9,965,616","1,129",-,1.82808,11.22808
GOODTEK (Arcaea Edit),FTR,9,9.3,"9,964,713",968,-,1.823565,11.123565
Senkyou,FTR,8+,8.7,"9,964,538",964,-,1.82269,10.52269
Ignotus,FTR,9,9.3,"9,964,338","1,225",-,1.82169,11.12169
Silent Rush,FTR,8,8.6,"9,963,699",941,-,1.818495,10.418495
Corruption,FTR,9+,9.8,"9,962,561","1,293",-,1.812805,11.612805
Rabbit In The Black Room,FTR,8,8.4,"9,961,829",772,-,1.809145,10.209145
qualia -ideaesthesia-,FTR,9,9.1,"9,961,775","1,022",-,1.808875,10.908875
Technicolour,FTR,9+,9.8,"9,961,606","1,140",-,1.80803,11.60803
SUPERNOVA,FTR,9+,9.7,"9,960,924","1,123",-,1.80462,11.50462
Fracture Ray,PRS,9,9.5,"9,960,310","1,343",-,1.80155,11.30155
Anökumene,FTR,9,9.2,"9,959,613",851,-,1.798065,10.998065
Shades of Light in a Transcendent Realm,FTR,8,8.3,"9,956,964","1,067",-,1.78482,10.08482
FREEF4LL,FTR,8,8.6,"9,956,936","1,023",-,1.78468,10.38468
blue comet,FTR,8,8.2,"9,955,624",776,-,1.77812,9.97812
Solitary Dream,FTR,8+,8.8,"9,954,595",972,-,1.772975,10.572975
Flashback,FTR,8+,8.9,"9,954,056",856,-,1.77028,10.67028
Romance Wars,FTR,7+,7.8,"9,953,801",641,-,1.769005,9.569005
Babaroque,FTR,8,8.5,"9,951,219",808,-,1.756095,10.256095
VECTOЯ,FTR,9,9.4,"9,951,170","1,299",-,1.75585,11.15585
Purgatorium,FTR,8,8.4,"9,950,024",983,-,1.75012,10.15012
LunarOrbit -believe in the Espebranch road-,FTR,9,9.6,"9,948,974","1,058",-,1.74487,11.34487
Red and Blue,FTR,9,9.4,"9,947,533",845,-,1.737665,11.137665
Heavensdoor,FTR,9+,9.9,"9,946,485","1,101",-,1.732425,11.632425
NULCTRL,FTR,9,9.5,"9,944,728",715,-,1.72364,11.22364
Lost Desire,FTR,9+,9.8,"9,944,727","1,154",-,1.723635,11.523635
FANTA5Y,FTR,9,9.4,"9,943,853",965,-,1.719265,11.119265
san skia,FTR,8,8.3,"9,943,608","1,046",-,1.71804,10.01804
